Plan,Metal Level,OOPM,Deductible,Drug Deductible,Number of Claims,Visits,Category
11512NC0100028,Bronze,6550,5500,0,0,1,
11512NC0100028,Bronze,4156.655291,3106.655291,0,1,1,Inpatient Physician
11512NC0100028,Bronze,3968.940653,2918.940653,0,2,1,Lab
11512NC0100028,Bronze,3683.9919815000003,2633.9919815000003,0,3,1,Specialist
11512NC0100028,Bronze,3591.3969815000005,2541.3969815000005,0,4,2,Lab
11512NC0100028,Bronze,3306.4483100000007,2256.4483100000007,0,5,2,Specialist
11512NC0100028,Bronze,2942.5558100000007,1892.5558100000007,0,6,2,Inpatient Physician
11512NC0100028,Bronze,2849.960810000001,1799.9608100000007,0,7,3,Lab
11512NC0100028,Bronze,2565.012138500001,1515.0121385000007,0,8,3,Specialist
11512NC0100028,Bronze,2201.119638500001,1151.1196385000007,0,9,3,Inpatient Physician
11512NC0100028,Bronze,2108.5246385000014,1058.5246385000007,0,10,4,Lab
11512NC0100028,Bronze,1823.5759670000014,773.5759670000007,0,11,4,Specialist
11512NC0100028,Bronze,1459.6834670000014,409.6834670000007,0,12,4,Inpatient Physician
11512NC0100028,Bronze,1367.0884670000014,317.0884670000007,0,13,5,Lab
11512NC0100028,Bronze,1082.1397955000014,32.13979550000073,0,14,5,Specialist
11512NC0100028,Bronze,983.6494591000007,0,0,15,5,Inpatient Physician
11512NC0100028,Bronze,965.1304591000007,0,0,16,6,Lab
11512NC0100028,Bronze,908.1407248000007,0,0,17,6,Specialist
11512NC0100028,Bronze,835.3622248000007,0,0,18,6,Inpatient Physician
11512NC0100028,Bronze,816.8432248000007,0,0,19,7,Lab
11512NC0100028,Bronze,759.8534905000007,0,0,20,7,Specialist
11512NC0100028,Bronze,687.0749905000007,0,0,21,7,Inpatient Physician
11512NC0100028,Bronze,437.1841921000007,0,0,22,7,Advanced Imaging
11512NC0100028,Bronze,418.6651921000007,0,0,23,8,Lab
11512NC0100028,Bronze,361.6754578000007,0,0,24,8,Specialist
11512NC0100028,Bronze,288.8969578000007,0,0,25,8,Inpatient Physician
11512NC0100028,Bronze,270.3779578000007,0,0,26,9,Lab
11512NC0100028,Bronze,213.38822350000066,0,0,27,9,Specialist
11512NC0100028,Bronze,140.60972350000065,0,0,28,9,Inpatient Physician
11512NC0100028,Bronze,122.09072350000065,0,0,29,10,Lab
11512NC0100028,Bronze,65.10098920000064,0,0,30,10,Specialist
11512NC0100028,Bronze,-371.49171079999934,0,0,31,10,Inpatient Physician
