Plan,Metal Level,OOPM,Deductible,Drug Deductible,Number of Claims,Visits,Category
38344AK0540006,Silver,-18.953332750000087,0,0,59,19,Inpatient Physician
38344AK0550002,Silver,-12.815807899999982,0,0,22,7,Advanced Imaging
38344AK0540008,Bronze,-14.899010800000816,0,0,30,10,Specialist
38344AK0550001,Bronze,-79.91766474999885,0,0,27,9,Specialist
38344AK0540003,Gold,-60.56766619999756,0,0,53,17,Inpatient Physician
46944AL0460001,Bronze,0.0,0,0,21,7,Inpatient Physician
46944AL0560001,Bronze,0.0,0,0,18,6,Inpatient Physician
46944AL0470001,Catastrophic,0.0,0,0,21,7,Inpatient Physician
46944AL0370001,Gold,3945.0,0,0,59,19,Inpatient Physician
46944AL0620001,Gold,3750.0,0,0,59,19,Inpatient Physician
46944AL0410001,Silver,2505.0,0,0,59,19,Inpatient Physician
46944AL0630001,Silver,2115.0,0,0,59,19,Inpatient Physician
62141AR0080005,Bronze,-18.780552999999784,0,0,28,9,Inpatient Physician
62141AR0100005,Bronze,-18.780552999999784,0,0,28,9,Inpatient Physician
70525AR0070001,Bronze,-332.0395197499987,0,0,22,7,Advanced Imaging
75293AR1200007,Bronze,-307.0395197500003,0,0,22,7,Advanced Imaging
75293AR1200008,Bronze,0.0,0,0,18,6,Inpatient Physician
75293AR1210003,Bronze,-32.66961580000042,0,0,23,8,Lab
70525AR0070006,Catastrophic,0.0,0,0,21,7,Inpatient Physician
75293AR1200009,Catastrophic,0.0,0,0,21,7,Inpatient Physician
62141AR0080002,Gold,1444.032382099999,0,0,59,19,Inpatient Physician
70525AR0070050,Gold,-220.83150169999965,0,0,22,7,Advanced Imaging
37903AR0070008,Gold,-220.83150169999965,0,0,22,7,Advanced Imaging
75293AR1200001,Gold,1316.8373338000006,0,0,59,19,Inpatient Physician
75293AR1200002,Gold,-10.384166199997235,0,0,58,19,Specialist
75293AR1210001,Gold,816.8373338000031,0,0,59,19,Inpatient Physician
62141AR0080007,Silver,-15.825141799999173,0,0,42,14,Specialist
62141AR0080008,Silver,-2.9550516999992453,0,0,45,15,Specialist
62141AR0100007,Silver,-15.825141799999173,0,0,42,14,Specialist
62141AR0100008,Silver,-2.9550516999992453,0,0,45,15,Specialist
70525AR0070003,Silver,-50.7837355999994,0,0,34,11,Inpatient Physician
70525AR0070151,Silver,-22.6438396999999,0,0,36,12,Specialist
37903AR0070001,Silver,-50.7837355999994,0,0,34,11,Inpatient Physician
75293AR1200003,Silver,235.2560007000002,0,0,59,19,Inpatient Physician
75293AR1200004,Silver,-2.0113540999997106,0,0,51,17,Lab
75293AR1200005,Silver,1044.0323821000027,0,0,59,19,Inpatient Physician
75293AR1200006,Silver,0.0,0,0,6,2,Inpatient Physician
75293AR1210002,Silver,-81.1791041000001,0,0,53,17,Inpatient Physician
53901AZ1340013,Bronze,-56.94383390000053,0,0,22,7,Advanced Imaging
53901AZ1350003,Bronze,0.0,0,0,18,6,Inpatient Physician
53901AZ1360005,Catastrophic,0.0,0,0,21,7,Inpatient Physician
53901AZ1340011,Gold,916.8373338000025,0,0,59,19,Inpatient Physician
53901AZ1340012,Silver,-70.56766619999836,0,0,53,17,Inpatient Physician
53901AZ1340016,Bronze,-56.94383390000053,0,0,22,7,Advanced Imaging
53901AZ1360006,Catastrophic,0.0,0,0,21,7,Inpatient Physician
53901AZ1340014,Gold,916.8373338000025,0,0,59,19,Inpatient Physician
53901AZ1340015,Silver,-70.56766619999836,0,0,53,17,Inpatient Physician
53901AZ1340007,Bronze,-56.94383390000053,0,0,22,7,Advanced Imaging
53901AZ1360003,Catastrophic,0.0,0,0,21,7,Inpatient Physician
53901AZ1340005,Gold,916.8373338000025,0,0,59,19,Inpatient Physician
53901AZ1340006,Silver,-70.56766619999836,0,0,53,17,Inpatient Physician
53901AZ1340010,Bronze,-56.94383390000053,0,0,22,7,Advanced Imaging
53901AZ1360004,Catastrophic,0.0,0,0,21,7,Inpatient Physician
53901AZ1340008,Gold,916.8373338000025,0,0,59,19,Inpatient Physician
53901AZ1340009,Silver,-70.56766619999836,0,0,53,17,Inpatient Physician
91450AZ0080036,Bronze,0.0,0,0,20,7,Specialist
91450AZ0080033,Gold,3280.0,0,0,59,19,Inpatient Physician
91450AZ0080034,Silver,-49.71764179999943,0,0,56,18,Inpatient Physician
91450AZ0080035,Silver,-32.03333899999936,387.96666100000084,0,23,8,Lab
53901AZ1360009,Catastrophic,0.0,0,0,21,7,Inpatient Physician
91450AZ0080029,Gold,3280.0,0,0,59,19,Inpatient Physician
91450AZ0080030,Silver,-49.71764179999943,0,0,56,18,Inpatient Physician
53901AZ1340019,Bronze,-56.94383390000053,0,0,22,7,Advanced Imaging
53901AZ1360007,Catastrophic,0.0,0,0,21,7,Inpatient Physician
53901AZ1340017,Gold,916.8373338000025,0,0,59,19,Inpatient Physician
53901AZ1340018,Silver,-70.56766619999836,0,0,53,17,Inpatient Physician
53901AZ1340022,Bronze,-56.94383390000053,0,0,22,7,Advanced Imaging
53901AZ1360008,Catastrophic,0.0,0,0,21,7,Inpatient Physician
53901AZ1340020,Gold,916.8373338000025,0,0,59,19,Inpatient Physician
53901AZ1340021,Silver,-70.56766619999836,0,0,53,17,Inpatient Physician
67190DE0080001,Bronze,0.0,0,0,21,7,Inpatient Physician
67190DE0080002,Bronze,0.0,0,0,18,6,Inpatient Physician
29497DE0090001,Bronze,0.0,0,0,21,7,Inpatient Physician
29497DE0090002,Bronze,0.0,0,0,18,6,Inpatient Physician
76168DE0410010,Bronze,-178.6388916000001,0,0,31,10,Inpatient Physician
76168DE0420001,Bronze,0.0,0,0,18,6,Inpatient Physician
76168DE0400001,Catastrophic,0.0,0,0,21,7,Inpatient Physician
67190DE0080003,Gold,201.83733380000342,0,0,59,19,Inpatient Physician
29497DE0090003,Gold,201.83733380000342,0,0,59,19,Inpatient Physician
76168DE0410012,Gold,1217.7222613999995,0,0,59,19,Inpatient Physician
76168DE0650001,Gold,-110.55295749999823,0,0,50,16,Advanced Imaging
67190DE0080004,Silver,-24.23285409999987,0,0,48,16,Inpatient Physician
67190DE0080007,Silver,-525.0,0,0,22,7,Advanced Imaging
67190DE0080008,Silver,-30.113367800000045,0,0,33,11,Specialist
29497DE0090004,Silver,-24.23285409999987,0,0,48,16,Inpatient Physician
29497DE0090006,Silver,-30.113367800000045,0,0,33,11,Specialist
29497DE0090007,Silver,-525.0,0,0,22,7,Advanced Imaging
76168DE0410013,Silver,-35.77798739999912,0,0,50,16,Advanced Imaging
76168DE0420004,Silver,1522.0161910499976,0,0,59,19,Inpatient Physician
76168DE0640003,Silver,-88.60364179999918,0,0,45,15,Specialist
16842FL0070084,Bronze,0.0,0,0,22,7,Advanced Imaging
16842FL0070108,Bronze,-258.93870099999947,346.0612990000006,0,28,9,Inpatient Physician
16842FL0070122,Bronze,0.0,0,0,18,6,Inpatient Physician
16842FL0070126,Bronze,-457.0395197500004,0,0,22,7,Advanced Imaging
30252FL0020044,Bronze,0.0,0,0,22,7,Advanced Imaging
30252FL0020066,Bronze,-258.93870099999947,346.0612990000006,0,28,9,Inpatient Physician
30252FL0020076,Bronze,0.0,0,0,18,6,Inpatient Physician
30252FL0020080,Bronze,-457.0395197500004,0,0,22,7,Advanced Imaging
30252FL0070001,Bronze,-213.93870099999947,346.0612990000006,0,28,9,Inpatient Physician
30252FL0070003,Bronze,0.0,0,0,21,7,Inpatient Physician
30252FL0070015,Bronze,-457.0395197500004,0,0,22,7,Advanced Imaging
16842FL0070120,Gold,3360.0,0,0,59,19,Inpatient Physician
16842FL0070128,Gold,-9.086666199997339,0,0,55,18,Specialist
30252FL0020074,Gold,3360.0,0,0,59,19,Inpatient Physician
30252FL0020082,Gold,-9.086666199997339,0,0,55,18,Specialist
30252FL0070009,Gold,-40.494440199999175,0,0,45,15,Specialist
16842FL0070102,Platinum,1150.1092016000002,0,0,59,19,Inpatient Physician
16842FL0070106,Platinum,1150.1092016000002,0,0,59,19,Inpatient Physician
16842FL0070110,Platinum,1320.0,0,0,59,19,Inpatient Physician
30252FL0020062,Platinum,1150.1092016000002,0,0,59,19,Inpatient Physician
30252FL0020068,Platinum,1320.0,0,0,59,19,Inpatient Physician
16842FL0070073,Silver,3975.0,5950,3000,59,19,Inpatient Physician
16842FL0070100,Silver,-5.6364700999997055,0,0,48,16,Specialist
16842FL0070114,Silver,171.76530879999996,0,0,59,19,Inpatient Physician
16842FL0070124,Silver,91.83733380000253,0,0,59,19,Inpatient Physician
30252FL0020033,Silver,3975.0,5950,3000,59,19,Inpatient Physician
30252FL0020060,Silver,-5.6364700999997055,0,0,48,16,Specialist
30252FL0020070,Silver,171.76530879999996,0,0,59,19,Inpatient Physician
30252FL0020078,Silver,91.83733380000253,0,0,59,19,Inpatient Physician
