Plan,Metal Level,OOPM,Deductible,Drug Deductible,Number of Claims,Visits,Category
38344AK0540006,Silver,-2175.54575,0,0,2,1,Rx Specialty
38344AK0550002,Silver,-5245.276,0,0,2,1,Rx Specialty
38344AK0540008,Bronze,-4205.276,0,0,2,1,Rx Specialty
38344AK0550001,Bronze,-4195.276,0,0,2,1,Rx Specialty
38344AK0540003,Gold,-3418.969,0,0,2,1,Rx Specialty
46944AL0460001,Bronze,0.0,0,0,2,1,Rx Specialty
46944AL0560001,Bronze,0.0,0,0,2,1,Rx Specialty
46944AL0470001,Catastrophic,0.0,0,0,2,1,Rx Specialty
46944AL0370001,Gold,2095.0,750,0,50,16,Specialist
46944AL0620001,Gold,2015.0,850,0,50,16,Specialist
46944AL0410001,Silver,1300.0,2600,0,50,16,Specialist
46944AL0630001,Silver,1140.0,2800,0,50,16,Specialist
62141AR0080005,Bronze,-660.441499999999,2834.0550000000003,0,5,1,Advanced Imaging
62141AR0100005,Bronze,-660.441499999999,2834.0550000000003,0,5,1,Advanced Imaging
70525AR0070001,Bronze,-5481.594999999999,0,0,2,1,Rx Specialty
75293AR1200007,Bronze,-5456.594999999999,0,0,2,1,Rx Specialty
75293AR1200008,Bronze,0.0,0,0,2,1,Rx Specialty
75293AR1210003,Bronze,-5381.594999999999,0,0,2,1,Rx Specialty
70525AR0070006,Catastrophic,0.0,0,0,2,1,Rx Specialty
75293AR1200009,Catastrophic,0.0,0,0,2,1,Rx Specialty
62141AR0080002,Gold,-45.986499999999126,83.51000000000005,0,4,1,Specialist
70525AR0070050,Gold,-35.8965,0,0,20,7,Rx Specialty
37903AR0070008,Gold,-35.8965,0,0,20,7,Rx Specialty
75293AR1200001,Gold,-2452.661,0,0,9,3,Rx Specialty
75293AR1200002,Gold,-72.63799999999992,0,0,2,1,Rx Specialty
75293AR1210001,Gold,-2952.661,0,0,9,3,Rx Specialty
62141AR0080007,Silver,-35.0,2000,0,43,14,Rx Specialty
62141AR0080008,Silver,-1258.9569999999994,0,0,2,1,Rx Specialty
62141AR0100007,Silver,-35.0,2000,0,43,14,Rx Specialty
62141AR0100008,Silver,-1258.9569999999994,0,0,2,1,Rx Specialty
70525AR0070003,Silver,-33.32799999999938,0,0,38,13,Lab
70525AR0070151,Silver,-536.3189999999995,0,0,2,1,Rx Specialty
37903AR0070001,Silver,-33.32799999999938,0,0,38,13,Lab
75293AR1200003,Silver,-28.79349999999937,0,0,5,1,Advanced Imaging
75293AR1200004,Silver,2098.631999999998,3500,0,50,16,Specialist
75293AR1200005,Silver,-2441.643,0,0,9,3,Rx Specialty
75293AR1200006,Silver,0.0,0,0,2,1,Rx Specialty
75293AR1210002,Silver,438.63199999999836,3000,0,50,16,Specialist
53901AZ1340013,Bronze,-2347.3624999999993,6368.465,650,2,1,Rx Specialty
53901AZ1350003,Bronze,0.0,0,0,2,1,Rx Specialty
53901AZ1360005,Catastrophic,0.0,0,0,2,1,Rx Specialty
53901AZ1340011,Gold,-3060.7797499999997,868.465,250,2,1,Rx Specialty
53901AZ1340012,Silver,-2847.3624999999993,3868.465,450,2,1,Rx Specialty
53901AZ1340016,Bronze,-2347.3624999999993,6368.465,650,2,1,Rx Specialty
53901AZ1360006,Catastrophic,0.0,0,0,2,1,Rx Specialty
53901AZ1340014,Gold,-3060.7797499999997,868.465,250,2,1,Rx Specialty
53901AZ1340015,Silver,-2847.3624999999993,3868.465,450,2,1,Rx Specialty
53901AZ1340007,Bronze,-2347.3624999999993,6368.465,650,2,1,Rx Specialty
53901AZ1360003,Catastrophic,0.0,0,0,2,1,Rx Specialty
53901AZ1340005,Gold,-3060.7797499999997,868.465,250,2,1,Rx Specialty
53901AZ1340006,Silver,-2847.3624999999993,3868.465,450,2,1,Rx Specialty
53901AZ1340010,Bronze,-2347.3624999999993,6368.465,650,2,1,Rx Specialty
53901AZ1360004,Catastrophic,0.0,0,0,2,1,Rx Specialty
53901AZ1340008,Gold,-3060.7797499999997,868.465,250,2,1,Rx Specialty
53901AZ1340009,Silver,-2847.3624999999993,3868.465,450,2,1,Rx Specialty
91450AZ0080036,Bronze,0.0,0,0,2,1,Rx Specialty
91450AZ0080033,Gold,-4381.594999999999,0,0,2,1,Rx Specialty
91450AZ0080034,Silver,-4335.827499999999,0,0,2,1,Rx Specialty
91450AZ0080035,Silver,0.0,0,0,2,1,Rx Specialty
53901AZ1360009,Catastrophic,0.0,0,0,2,1,Rx Specialty
91450AZ0080029,Gold,-4381.594999999999,0,0,2,1,Rx Specialty
91450AZ0080030,Silver,-4335.827499999999,0,0,2,1,Rx Specialty
53901AZ1340019,Bronze,-2347.3624999999993,6368.465,650,2,1,Rx Specialty
53901AZ1360007,Catastrophic,0.0,0,0,2,1,Rx Specialty
53901AZ1340017,Gold,-3060.7797499999997,868.465,250,2,1,Rx Specialty
53901AZ1340018,Silver,-2847.3624999999993,3868.465,450,2,1,Rx Specialty
53901AZ1340022,Bronze,-2347.3624999999993,6368.465,650,2,1,Rx Specialty
53901AZ1360008,Catastrophic,0.0,0,0,2,1,Rx Specialty
53901AZ1340020,Gold,-3060.7797499999997,868.465,250,2,1,Rx Specialty
53901AZ1340021,Silver,-2847.3624999999993,3868.465,450,2,1,Rx Specialty
67190DE0080001,Bronze,0.0,0,0,2,1,Rx Specialty
67190DE0080002,Bronze,0.0,0,0,2,1,Rx Specialty
29497DE0090001,Bronze,0.0,0,0,2,1,Rx Specialty
29497DE0090002,Bronze,0.0,0,0,2,1,Rx Specialty
76168DE0410010,Bronze,-5620.827499999999,0,0,2,1,Rx Specialty
76168DE0420001,Bronze,0.0,0,0,2,1,Rx Specialty
76168DE0400001,Catastrophic,0.0,0,0,2,1,Rx Specialty
67190DE0080003,Gold,-4422.362499999999,1018.4649999999999,0,2,1,Rx Specialty
29497DE0090003,Gold,-4422.362499999999,1018.4649999999999,0,2,1,Rx Specialty
76168DE0410012,Gold,-2358.7400000000002,0,0,9,3,Rx Specialty
76168DE0650001,Gold,-166.3189999999995,0,0,2,1,Rx Specialty
67190DE0080004,Silver,-2747.3624999999993,2868.465,0,2,1,Rx Specialty
67190DE0080007,Silver,0.0,0,0,2,1,Rx Specialty
67190DE0080008,Silver,-5181.594999999999,0,0,2,1,Rx Specialty
29497DE0090004,Silver,-2747.3624999999993,2868.465,0,2,1,Rx Specialty
29497DE0090006,Silver,-5181.594999999999,0,0,2,1,Rx Specialty
29497DE0090007,Silver,0.0,0,0,2,1,Rx Specialty
76168DE0410013,Silver,-1903.214,2380.635,0,9,3,Rx Specialty
76168DE0420004,Silver,-214.21299999999928,0,0,9,3,Rx Specialty
76168DE0640003,Silver,-788.8490000000002,3000,0,9,3,Rx Specialty
16842FL0070084,Bronze,0,0,0,2,1,Rx Specialty
16842FL0070108,Bronze,-5685.827499999999,0,0,2,1,Rx Specialty
16842FL0070122,Bronze,0.0,0,0,2,1,Rx Specialty
16842FL0070126,Bronze,-4995.9355,0,0,2,1,Rx Specialty
30252FL0020044,Bronze,0,0,0,2,1,Rx Specialty
30252FL0020066,Bronze,-5685.827499999999,0,0,2,1,Rx Specialty
30252FL0020076,Bronze,0.0,0,0,2,1,Rx Specialty
30252FL0020080,Bronze,-4995.9355,0,0,2,1,Rx Specialty
30252FL0070001,Bronze,-5685.827499999999,0,0,2,1,Rx Specialty
30252FL0070003,Bronze,0.0,0,0,2,1,Rx Specialty
