Plan,Metal Level,OOPM,Deductible,Drug Deductible,Number of Claims,Visits,Category
38344AK0540006,Silver,7150,3000,0,0,1,
38344AK0540006,Silver,7117.11625,3000,0,1,1,Lab
38344AK0540006,Silver,-2175.54575,0,0,2,1,Rx Specialty
38344AK0550002,Silver,4100,3000,0,0,1,
38344AK0550002,Silver,3968.465,2868.465,0,1,1,Lab
38344AK0550002,Silver,-5245.276,0,0,2,1,Rx Specialty
38344AK0540008,Bronze,7150,6350,0,0,1,
38344AK0540008,Bronze,7018.465,6218.465,0,1,1,Lab
38344AK0540008,Bronze,-4205.276,0,0,2,1,Rx Specialty
38344AK0550001,Bronze,6500,5250,0,0,1,
38344AK0550001,Bronze,6368.465,5118.465,0,1,1,Lab
38344AK0550001,Bronze,-4195.276,0,0,2,1,Rx Specialty
38344AK0540003,Gold,5000,1500,0,0,1,
38344AK0540003,Gold,4973.693,1500,0,1,1,Lab
38344AK0540003,Gold,-3418.969,0,0,2,1,Rx Specialty
46944AL0460001,Bronze,7150,7150,0,0,1,
46944AL0460001,Bronze,7018.465,7018.465,0,1,1,Lab
46944AL0460001,Bronze,0.0,0,0,2,1,Rx Specialty
46944AL0560001,Bronze,6450,6450,0,0,1,
46944AL0560001,Bronze,6318.465,6318.465,0,1,1,Lab
46944AL0560001,Bronze,0.0,0,0,2,1,Rx Specialty
46944AL0470001,Catastrophic,7150,7150,0,0,1,
46944AL0470001,Catastrophic,7018.465,7018.465,0,1,1,Lab
46944AL0470001,Catastrophic,0.0,0,0,2,1,Rx Specialty
46944AL0370001,Gold,6000,750,0,0,1,
46944AL0370001,Gold,6000,750,0,1,1,Lab
46944AL0370001,Gold,5825.0,750,0,2,1,Rx Specialty
46944AL0370001,Gold,5815.0,750,0,3,1,Rx Generic
46944AL0370001,Gold,5770.0,750,0,4,1,Specialist
46944AL0370001,Gold,5545.0,750,0,5,1,Advanced Imaging
46944AL0370001,Gold,5545.0,750,0,6,2,Lab
46944AL0370001,Gold,5500.0,750,0,7,2,Specialist
46944AL0370001,Gold,5500.0,750,0,8,3,Lab
46944AL0370001,Gold,5325.0,750,0,9,3,Rx Specialty
46944AL0370001,Gold,5280.0,750,0,10,3,Specialist
46944AL0370001,Gold,5280.0,750,0,11,4,Lab
46944AL0370001,Gold,5235.0,750,0,12,4,Specialist
46944AL0370001,Gold,5235.0,750,0,13,5,Lab
46944AL0370001,Gold,5060.0,750,0,14,3,Rx Specialty
46944AL0370001,Gold,5015.0,750,0,15,5,Specialist
46944AL0370001,Gold,5015.0,750,0,16,6,Lab
46944AL0370001,Gold,4970.0,750,0,17,6,Specialist
46944AL0370001,Gold,4970.0,750,0,18,7,Lab
46944AL0370001,Gold,4745.0,750,0,19,7,Advanced Imaging
46944AL0370001,Gold,4570.0,750,0,20,7,Rx Specialty
46944AL0370001,Gold,4525.0,750,0,21,7,Specialist
46944AL0370001,Gold,4525.0,750,0,22,8,Lab
46944AL0370001,Gold,4350.0,750,0,23,8,Rx Specialty
46944AL0370001,Gold,4305.0,750,0,24,8,Specialist
46944AL0370001,Gold,4305.0,750,0,25,9,Lab
46944AL0370001,Gold,4130.0,750,0,26,9,Rx Specialty
46944AL0370001,Gold,4085.0,750,0,27,9,Specialist
46944AL0370001,Gold,4085.0,750,0,28,10,Lab
46944AL0370001,Gold,3860.0,750,0,29,10,Advanced Imaging
46944AL0370001,Gold,3685.0,750,0,30,10,Rx Specialty
46944AL0370001,Gold,3640.0,750,0,31,10,Specialist
46944AL0370001,Gold,3640.0,750,0,32,11,Lab
46944AL0370001,Gold,3465.0,750,0,33,11,Rx Specialty
46944AL0370001,Gold,3420.0,750,0,34,11,Specialist
46944AL0370001,Gold,3420.0,750,0,35,12,Lab
46944AL0370001,Gold,3245.0,750,0,36,12,Rx Specialty
46944AL0370001,Gold,3200.0,750,0,37,12,Specialist
46944AL0370001,Gold,3200.0,750,0,38,13,Lab
46944AL0370001,Gold,2975.0,750,0,39,13,Advanced Imaging
46944AL0370001,Gold,2800.0,750,0,40,13,Rx Specialty
46944AL0370001,Gold,2755.0,750,0,41,13,Specialist
46944AL0370001,Gold,2755.0,750,0,42,14,Lab
46944AL0370001,Gold,2580.0,750,0,43,14,Rx Specialty
46944AL0370001,Gold,2535.0,750,0,44,14,Specialist
46944AL0370001,Gold,2535.0,750,0,45,15,Lab
46944AL0370001,Gold,2360.0,750,0,46,15,Rx Specialty
46944AL0370001,Gold,2315.0,750,0,47,15,Specialist
46944AL0370001,Gold,2315.0,750,0,48,16,Lab
46944AL0370001,Gold,2140.0,750,0,49,16,Rx Specialty
46944AL0370001,Gold,2095.0,750,0,50,16,Specialist
46944AL0620001,Gold,6000,850,0,0,1,
46944AL0620001,Gold,6000,850,0,1,1,Lab
46944AL0620001,Gold,5825.0,850,0,2,1,Rx Specialty
46944AL0620001,Gold,5815.0,850,0,3,1,Rx Generic
46944AL0620001,Gold,5765.0,850,0,4,1,Specialist
46944AL0620001,Gold,5540.0,850,0,5,1,Advanced Imaging
46944AL0620001,Gold,5540.0,850,0,6,2,Lab
46944AL0620001,Gold,5490.0,850,0,7,2,Specialist
46944AL0620001,Gold,5490.0,850,0,8,3,Lab
46944AL0620001,Gold,5315.0,850,0,9,3,Rx Specialty
46944AL0620001,Gold,5265.0,850,0,10,3,Specialist
46944AL0620001,Gold,5265.0,850,0,11,4,Lab
46944AL0620001,Gold,5215.0,850,0,12,4,Specialist
46944AL0620001,Gold,5215.0,850,0,13,5,Lab
